Name,Surname,Institution,Author_id,Article_eid,Year,Num_aut,Num_cit,Article_refs,Num_ref_in_citing,Citing_year
andrea,cafarelli,scuola superiore sant'anna,56554072100,2-s2.0-85197469658,2024,4,5,264,0.046047214307754575,"[2024, 2024, 2025, 2024]"
andrea,cafarelli,scuola superiore sant'anna,56554072100,2-s2.0-85202669315,2024,9,9,130,0.16437926789549467,"[2025, 2025, 2024, 2025, 2025, 2024, 2024, 2024, 2024]"
andrea,cafarelli,scuola superiore sant'anna,56554072100,2-s2.0-85179896274,2024,7,3,55,0.05408780551095542,"[2025, 2024, 2024]"
andrea,cafarelli,scuola superiore sant'anna,56554072100,2-s2.0-85181797935,2024,29,23,70,0.25766327572013203,"[2024, 2025, 2025, 2025, 2025, 2024, 2025, 2024, 2025, 2025, 2025, 2025, 2024, 2024, 2024, 2024, 2024, 2024, 2024, 2024, 2024, 2024, 2024]"
andrea,cafarelli,scuola superiore sant'anna,56554072100,2-s2.0-85208640608,2024,6,0,22,0.0,[]
andrea,cafarelli,scuola superiore sant'anna,56554072100,2-s2.0-85194831233,2024,14,1,37,0.007692307692307693,[2024]
andrea,cafarelli,scuola superiore sant'anna,56554072100,2-s2.0-85152170507,2023,6,7,72,0.10147045740585962,"[2024, 2024, 2024, 2024, 'doi not found or an error occurred.', 2023, 2023]"
andrea,cafarelli,scuola superiore sant'anna,56554072100,2-s2.0-85151059760,2023,8,13,75,0.14379666821487186,"[2025, 2025, 2025, 2024, 2024, 2024, 2024, 2024, 2024, 2023, 2023, 2023, 2023]"
andrea,cafarelli,scuola superiore sant'anna,56554072100,2-s2.0-85178592241,2023,7,0,13,0.0,[]
andrea,cafarelli,scuola superiore sant'anna,56554072100,2-s2.0-85175814330,2023,6,0,32,0.0,[]
andrea,cafarelli,scuola superiore sant'anna,56554072100,2-s2.0-85175801109,2023,3,0,32,0.0,[]
andrea,cafarelli,scuola superiore sant'anna,56554072100,2-s2.0-85143747352,2022,4,0,5,0.0,[]
andrea,cafarelli,scuola superiore sant'anna,56554072100,2-s2.0-85122100765,2022,9,5,15,0.11843686225708698,"[2024, 2024, 2024, 2024, 2023]"
andrea,cafarelli,scuola superiore sant'anna,56554072100,2-s2.0-85099255752,2021,5,7,38,0.21119859376438324,"[2024, 2024, 2024, 2024, 2023, 2022, 2021]"
andrea,cafarelli,scuola superiore sant'anna,56554072100,2-s2.0-85108721616,2021,12,23,36,0.39970739422504226,"[2025, 2024, 2024, 2024, 2024, 2024, 2023, 2022, 2023, 2023, 2023, 2023, 2023, 2023, 2023]"
andrea,cafarelli,scuola superiore sant'anna,56554072100,2-s2.0-85111219124,2021,7,173,136,1.7818862064842766,"[2025, 2025, 2025, 2025, 2025, 2024, 2025, 2025, 2025, 2024, 2024, 2024, 2025, 2024, 2024, 2025, 2025, 2025, 2025, 2025, 2025, 2025, 2024, 2025, 2025, 2025, 2025, 2024, 2024, 2024, 2024, 2024, 2024, 2024, 2024, 2024, 2024, 2024, 2024, 2024, 2024, 2024, 2024, 2024, 2024, 2024, 2024, 2024, 2024, 2024, 2024, 2024, 2024, 2024, 2024, 2024, 2024, 2024, 2024, 2024, 2024, 2024, 2024, 2024, 2024, 2023, 2024, 2023, 2024, 2024, 2024, 2024, 2024, 2024, 2024, 2024, 2024, 2024, 2023, 2024, 2024, 2025, 2024, 2024, 2024, 2024, 2024, 2024, 2023, 2023, 2023, 2023, 2024, 2023, 2023, 2023, 2023, 2023, 2023, 2023, 2024, 2024, 2023, 2023, 2023, 2023, 2023, 2023, 2023, 2023, 2023, 2023, 2023, 2023, 2022, 2023, 2023, 2023, 2023, 2023, 2023, 2023, 2023, 2023, 2023, 2023, 2023, 2023, 2023, 2023, 2023, 2022, 2023, 2023, 2023, 2023, 2023, 2023, 2022, 2023, 2023, 2023, 2022, 2023]"
andrea,cafarelli,scuola superiore sant'anna,56554072100,2-s2.0-85122854217,2021,5,0,6,0.0,[]
andrea,cafarelli,scuola superiore sant'anna,56554072100,2-s2.0-85122530175,2021,4,4,19,0.14610963748894784,"[2024, 2024, 2023, 2022]"
andrea,cafarelli,scuola superiore sant'anna,56554072100,2-s2.0-85122498278,2021,7,5,21,0.14134672955568478,"[2025, 2023, 2023, 2023, 2022]"
andrea,cafarelli,scuola superiore sant'anna,56554072100,2-s2.0-85091845392,2020,6,4,47,0.07910946747845143,"[2024, 2023, 2023, 2021]"
andrea,cafarelli,scuola superiore sant'anna,56554072100,2-s2.0-85086779918,2020,12,37,46,0.619753325471171,"[2025, 2024, 2024, 2024, 2024, 2024, 2024, 2024, 2023, 2023, 2023, 2023, 2023, 2023, 2023, 2023, 2023, 2023, 2022, 2022, 2022, 2022, 2022, 2022, 2022, 2022, 2022, 2021, 2021, 2021, 2021, 2021, 2021, 2021, 2021, 2020, 2020]"
andrea,cafarelli,scuola superiore sant'anna,56554072100,2-s2.0-85084537159,2020,5,21,50,0.2639609926324277,"[2024, 2024, 2024, 2024, 2024, 2024, 2023, 2023, 2023, 2023, 2023, 2023, 2022, 2022, 2022, 2022, 2021, 2022, 2022, 2022, 2021]"
andrea,cafarelli,scuola superiore sant'anna,56554072100,2-s2.0-85093876447,2020,10,9,36,0.1490607642410299,"['doi not found or an error occurred.', 2022, 2021, 2021, 2021, 'doi not found or an error occurred.', 2020, 2020]"
andrea,cafarelli,scuola superiore sant'anna,56554072100,2-s2.0-85065767782,2019,10,24,66,0.31549270009730845,"[2025, 2025, 2025, 2024, 2024, 2024, 2023, 2023, 2023, 2023, 2023, 'doi not found or an error occurred.', 2023, 2023, 2023, 2022, 2022, 2022, 2021, 2021, 2021, 2021, 2021, 2020]"
andrea,cafarelli,scuola superiore sant'anna,56554072100,2-s2.0-85078050695,2019,6,2,17,0.03666121112929624,"[2020, 2020]"
andrea,cafarelli,scuola superiore sant'anna,56554072100,2-s2.0-85077906479,2019,6,1,16,0.0048543689320388345,[2022]
andrea,cafarelli,scuola superiore sant'anna,56554072100,2-s2.0-85046034299,2019,7,71,46,1.4033799184554754,"[2025, 2024, 2024, 2024, 2024, 2024, 2023, 2024, 2024, 2024, 2024, 2024, 2024, 2023, 2023, 2023, 2023, 2023, 2023, 2023, 2022, 2022, 2022, 2022, 2022, 2022, 2022, 2022, 2022, 2022, 2022, 2022, 2022, 2022, 2022, 2022, 2022, 2021, 2021, 2021, 2021, 2021, 2021, 2021, 2021, 2021, 2021, 'doi not found or an error occurred.', 2021, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2020, 2019, 2019, 2019, 2019, 2019, 2019, 2019, 2018, 2018, 2018]"
andrea,cafarelli,scuola superiore sant'anna,56554072100,2-s2.0-85056667803,2018,4,2,16,0.056990881458966566,"[2023, 2020]"
andrea,cafarelli,scuola superiore sant'anna,56554072100,2-s2.0-85056615139,2018,7,8,18,0.22315099342559294,"[2024, 2023, 2023, 2023, 2022, 2022, 2021, 2020]"
andrea,cafarelli,scuola superiore sant'anna,56554072100,2-s2.0-85041961947,2018,6,17,52,0.3916515702777746,"[2024, 2023, 2023, 2023, 2022, 2022, 2021, 2021, 2021, 2021, 2020, 2020, 2020, 2020, 2020, 2020, 2019]"
andrea,cafarelli,scuola superiore sant'anna,56554072100,2-s2.0-85039423120,2017,7,0,2,0.0,[]
andrea,cafarelli,scuola superiore sant'anna,56554072100,2-s2.0-85039417145,2017,7,0,15,0.0,[]
andrea,cafarelli,scuola superiore sant'anna,56554072100,2-s2.0-85041962302,2017,5,5,13,0.1087216506897358,"[2023, 2022, 2020, 2020, 2018]"
andrea,cafarelli,scuola superiore sant'anna,56554072100,2-s2.0-85017502016,2017,6,26,54,0.4546290206897062,"[2024, 2024, 2023, 2023, 2023, 2023, 2022, 2022, 2022, 2022, 2022, 2022, 2022, 2021, 2021, 2021, 2021, 2021, 2021, 2021, 2020, 2019, 2019, 2018, 2018, 2017]"
andrea,cafarelli,scuola superiore sant'anna,56554072100,2-s2.0-85007473585,2017,6,83,58,0.7044171054885036,"[2025, 2024, 2024, 2024, 2024, 2023, 2024, 2024, 2024, 2024, 2023, 2023, 2023, 2023, 2023, 2023, 2023, 2023, 2023, 2023, 2023, 2023, 2022, 2022, 2024]"
andrea,cafarelli,scuola superiore sant'anna,56554072100,2-s2.0-84997514442,2016,5,34,24,1.2985723600954464,"[2023, 2024, 2024, 2024, 2024, 2023, 2023, 2023, 2023, 2022, 2022, 2022, 2022, 2022, 2022, 2022, 2022, 2022, 2021, 2021, 2021, 2021, 2021, 2021, 2021, 2020, 2020, 2020, 2020, 2020, 2020, 2019, 2019, 2017]"
andrea,cafarelli,scuola superiore sant'anna,56554072100,2-s2.0-84953250270,2015,7,7,19,0.3222318709387675,"[2024, 2023, 2023, 2018, 2016, 2017, 2017]"
andrea,cafarelli,scuola superiore sant'anna,56554072100,2-s2.0-84924874168,2015,5,35,37,0.6743552219351263,"[2024, 2024, 2024, 2023, 2023, 2023, 2023, 2021, 2021, 2021, 2021, 2021, 2020, 2020, 2020, 2020, 2020, 2019, 2019, 2019, 2019, 2019, 2019, 2019, 2018, 2018, 2018, 2019, 2017, 2017, 2017, 2016, 2015, 2015, 2015]"
alessia,caputo,politecnica delle marche,58119182300,2-s2.0-85215783326,2025,3,0,35,0.0,[]
alessia,caputo,politecnica delle marche,58119182300,2-s2.0-85207326440,2024,5,0,32,0.0,[]
alessia,caputo,politecnica delle marche,58119182300,2-s2.0-85196517806,2024,5,0,8,0.0,[]
alessia,caputo,politecnica delle marche,58119182300,2-s2.0-85216109913,2024,3,0,24,0.0,[]
alessia,caputo,politecnica delle marche,58119182300,2-s2.0-85201165258,2024,7,0,23,0.0,[]
alessia,caputo,politecnica delle marche,58119182300,2-s2.0-85148973219,2023,4,19,27,0.7212292892153407,"[2025, 2025, 2025, 2024, 2024, 2024, 2024, 2024, 2024, 2024, 2024, 2024, 2024, 2023, 2023, 2023, 2023, 2023, 2023]"
